Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year
44,Arkansas,14.69,116.3,101.7,69.7,0.059000000000000004,9.9,110.5,100.6,0.87,2018
45,Middle Tennessee,14.68,111.3,96.6,66.5,0.008,3.58,107.5,103.9,7.65,2018
46,N.C. State,14.52,116.3,101.8,71.4,-0.001,7.71,108.6,100.9,-9.71,2018
47,Western Kentucky,14.45,114.5,100.1,68.8,-0.003,3.72,106.9,103.2,3.81,2018
48,Oklahoma ,14.16,114.6,100.5,75.5,-0.008,11.68,111.3,99.6,2.13,2018
49,Arizona St. ,14.13,116.7,102.6,71.3,-0.083,5.48,107.4,101.9,0.94,2018
50,San Diego St. ,14.09,110.5,96.4,68.8,-0.032,3.46,107.2,103.8,-0.8,2018
51,USC,14.06,114.5,100.5,67.7,-0.017,5.12,108.2,103.1,1.37,2018
52,Rhode Island,13.93,111.1,97.2,68.4,0.063,3.49,107.6,104.1,3.83,2018
53,Marquette,13.68,119.2,105.6,69.5,0.02,9.99,110.9,100.9,-0.66,2018
54,Mississippi St.,13.61,110.5,96.9,67.3,0.042,7.03,108.5,101.5,-10.55,2018
55,Nebraska,13.54,110.6,97.1,67.4,0.055,7.14,108.4,101.3,-3.1,2018
56,UCLA ,13.52,115.0,101.4,70.3,-0.027000000000000003,6.42,108.1,101.7,2.93,2018
57,Alabama,13.41,108.7,95.2,68.7,0.017,11.17,110.9,99.7,2.54,2018
58,Utah,12.99,111.8,98.9,65.6,0.031,6.31,109.1,102.7,-1.28,2018
59,Oklahoma St.,12.93,111.6,98.6,68.9,-0.001,9.22,110.6,101.4,-5.35,2018
60,New Mexico St. ,12.92,107.9,95.0,68.5,0.027000000000000003,-1.4,104.0,105.4,3.7,2018
61,Boise St.,12.9,109.9,97.0,68.8,-0.006,2.23,106.6,104.3,-1.95,2018
62,Murray St. ,12.19,112.9,100.7,67.2,-0.0,-3.56,102.9,106.4,-0.99,2018
63,Providence ,12.17,108.9,96.7,67.1,0.07400000000000001,10.58,111.6,101.1,-1.38,2018
64,Old Dominion,12.14,108.8,96.6,64.5,0.040999999999999995,-1.27,104.4,105.6,-3.43,2018
65,Georgia,11.64,107.5,95.9,64.4,0.01,10.09,111.0,100.9,0.51,2018
66,LSU,11.62,114.8,103.2,68.7,-0.018000000000000002,8.59,110.0,101.4,-2.91,2018
67,Buffalo ,11.53,114.7,103.2,72.7,0.006,-0.06,105.1,105.2,3.87,2018
68,St. Bonaventure ,11.21,110.8,99.5,69.4,0.078,2.8,107.0,104.2,1.17,2018
69,Louisiana Lafayette,11.14,112.7,101.5,70.6,0.033,-2.59,103.5,106.1,-0.58,2018
70,Wisconsin,10.68,109.7,99.1,62.7,-0.068,9.89,110.9,101.0,0.06,2018
71,Indiana,10.44,109.4,99.0,66.6,-0.025,7.83,109.7,101.8,-2.76,2018
72,Montana ,10.4,108.8,98.4,68.0,-0.0,-1.96,104.0,106.0,2.09,2018
73,BYU,10.32,108.3,98.0,67.9,0.006,0.54,106.4,105.9,-2.08,2018
74,St. John's,10.31,106.5,96.2,69.4,-0.016,11.11,111.5,100.4,3.05,2018
75,Oregon,10.24,111.1,100.9,67.3,0.004,3.5,107.9,104.4,-6.15,2018
76,Vermont,10.22,113.8,103.5,64.1,-0.009000000000000001,-2.97,102.5,105.4,4.54,2018
77,Boston College,10.21,113.1,102.9,70.2,0.004,8.49,109.1,100.6,-7.11,2018
78,South Dakota St. ,10.2,113.8,103.6,70.5,0.09699999999999999,-0.09,105.8,105.9,3.59,2018
79,Fresno St.,10.07,109.7,99.6,66.6,-0.057,0.84,105.8,105.0,-6.31,2018
80,South Carolina,9.91,105.6,95.7,68.7,0.003,9.63,109.9,100.3,0.89,2018
81,South Dakota,9.85,109.0,99.2,70.9,-0.048,-2.97,104.7,107.6,-1.65,2018
82,UNC Greensboro ,9.22,104.9,95.7,65.2,-0.024,-4.57,103.7,108.2,-3.46,2018
83,Belmont,9.15,112.7,103.5,66.9,-0.004,-3.22,103.1,106.4,1.45,2018
84,SMU,8.61,109.5,100.9,64.3,-0.102,2.41,105.4,103.0,-3.88,2018
85,Northwestern,8.57,109.2,100.6,63.9,-0.068,8.85,109.0,100.2,-1.9,2018
86,Temple,8.38,108.3,100.0,67.6,0.027999999999999997,8.53,108.9,100.3,9.11,2018
87,Stanford,8.37,107.7,99.3,70.9,0.016,6.29,109.1,102.8,3.46,2018
88,Iowa,8.14,116.6,108.4,70.3,-0.09,8.23,109.2,101.0,-4.11,2018
89,Wake Forest,7.94,110.9,103.0,69.5,-0.12,9.05,109.2,100.2,-1.4,2018
90,Northern Kentucky,7.93,107.5,99.6,68.6,-0.073,-4.04,102.6,106.6,1.95,2018
91,Vanderbilt,7.93,115.3,107.3,65.8,-0.08,11.07,110.8,99.7,4.28,2018
92,Utah Valley,7.78,110.8,103.0,68.1,-0.006,-1.94,102.4,104.4,1.28,2018
93,East Tennessee St.,7.49,105.3,97.8,67.6,-0.0,-4.19,103.6,107.7,-1.54,2018
94,Georgetown,7.44,109.7,102.3,70.5,-0.046,6.28,108.4,102.1,-17.81,2018
95,Furman,7.41,108.9,101.5,68.6,-0.005,-4.53,103.1,107.6,-0.73,2018
96,Northeastern,7.34,107.8,100.5,67.0,0.03,-1.27,106.1,107.4,4.09,2018
97,Bucknell ,7.31,109.5,102.2,71.4,0.006,-4.35,102.8,107.1,5.79,2018
98,Washington,7.09,106.6,99.5,69.8,0.075,4.75,108.3,103.5,-0.46,2018
99,DePaul,7.03,104.5,97.5,69.8,-0.10300000000000001,9.79,111.2,101.5,-4.14,2018
100,Oregon St.,6.99,108.2,101.3,65.5,-0.083,3.02,107.3,104.3,-7.34,2018
101,Georgia St. ,6.92,108.8,101.9,66.8,-0.015,-2.51,103.4,105.9,-3.22,2018
102,Illinois,6.67,109.6,103.0,69.9,-0.09300000000000001,7.32,108.1,100.8,-3.19,2018
103,Iowa St.,6.58,109.9,103.4,68.9,-0.009000000000000001,10.71,110.5,99.7,-3.06,2018
104,Northern Colorado,6.55,107.3,100.8,72.2,-0.023,-1.73,104.4,106.1,1.38,2018
105,Marshall ,6.53,109.4,102.9,74.7,0.06,0.07,105.6,105.5,-7.0,2018
106,New Mexico,6.52,113.3,106.8,71.3,-0.022000000000000002,2.7,105.9,103.2,1.41,2018
107,UNLV,6.44,111.4,104.9,72.3,-0.012,0.86,106.0,105.1,-5.02,2018
108,Mississippi,6.42,111.1,104.7,70.0,-0.053,9.62,109.7,100.0,0.9,2018
109,UAB,6.32,109.6,103.3,67.7,-0.047,-0.93,104.5,105.4,-6.96,2018
110,Tulsa,6.02,108.3,102.3,67.3,0.028999999999999998,0.68,105.5,104.8,-2.04,2018
111,UCF,5.62,98.9,93.2,64.5,0.062,2.52,106.5,104.0,-2.5,2018
112,Stephen F. Austin ,5.58,104.5,99.0,71.1,0.031,-7.16,100.6,107.8,-2.26,2018
113,Toledo,5.31,113.9,108.6,68.4,0.049,-1.94,103.9,105.8,-1.81,2018
114,Colorado,5.27,104.9,99.6,67.8,0.068,6.26,110.1,103.8,-0.09,2018
115,College of Charleston ,5.16,108.7,103.6,64.9,0.035,-4.06,104.8,108.9,-7.64,2018
116,Saint Joseph's,5.15,105.6,100.5,70.5,-0.052000000000000005,0.77,105.3,104.6,2.17,2018
117,Minnesota,5.08,108.7,103.7,69.8,-0.02,6.85,108.8,101.9,-5.09,2018
118,Wyoming,4.99,105.6,100.6,73.5,0.068,3.44,107.2,103.8,2.31,2018
119,Georgia Tech,4.9,103.6,98.7,66.1,-0.022000000000000002,8.11,108.8,100.6,-5.51,2018
120,Missouri St.,4.81,108.3,103.5,65.5,-0.046,1.05,103.9,102.9,-3.02,2018
121,Grand Canyon,4.53,102.1,97.5,69.0,-0.066,-6.92,100.0,106.9,-11.37,2018
122,Northern Iowa,4.51,103.2,98.7,62.7,-0.032,4.58,106.8,102.2,6.04,2018
123,UC Santa Barbara,4.27,111.4,107.1,66.7,0.034,-3.86,101.8,105.7,-0.86,2018
124,Bradley,3.98,104.4,100.4,65.8,0.042,1.07,104.7,103.6,-4.52,2018
125,Penn ,3.69,103.1,99.4,68.9,0.076,-4.15,103.7,107.8,-2.98,2018
126,Idaho,3.54,109.2,105.6,65.6,0.039,-3.98,103.1,107.1,-3.07,2018
127,Florida Gulf Coast,3.47,107.5,104.0,71.6,-0.059000000000000004,-6.95,102.4,109.3,-0.65,2018
128,UT Arlington,3.37,105.5,102.1,72.8,0.009000000000000001,-1.37,104.2,105.5,-1.2,2018
129,UC Davis,3.25,104.1,100.9,66.5,0.040999999999999995,-1.05,103.7,104.8,4.12,2018
130,Rutgers,3.07,99.2,96.2,66.0,-0.043,5.58,108.2,102.6,-14.27,2018
131,Canisius,3.05,107.2,104.1,68.9,-0.034,-4.82,102.4,107.2,-2.89,2018
132,San Diego,3.01,103.6,100.6,66.9,-0.013999999999999999,-0.77,104.5,105.2,-2.63,2018
133,Wright St. ,2.89,100.6,97.7,68.3,0.07400000000000001,-3.79,102.7,106.5,2.23,2018
134,Evansville,2.85,99.3,96.5,65.7,0.015,1.38,105.4,104.0,-3.48,2018
135,Southern Illinois,2.82,106.1,103.3,66.6,0.073,1.27,104.5,103.3,-4.09,2018
136,Eastern Washington,2.67,107.3,104.6,66.5,-0.004,0.11,105.4,105.2,6.2,2018
137,Iona ,2.63,110.0,107.3,70.7,-0.008,-2.12,103.1,105.2,2.14,2018
138,Indiana St.,2.63,104.7,102.1,69.9,-0.09699999999999999,3.13,105.1,102.0,2.05,2018
139,Utah St.,2.57,107.2,104.7,66.8,-0.013999999999999999,2.74,106.7,103.9,-0.95,2018
140,Illinois St.,2.39,105.7,103.3,68.9,0.11599999999999999,4.95,106.1,101.2,6.6,2018
