Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year
202,Colgate,-3.72,105.0,108.7,66.6,0.03,-6.25,101.7,108.0,-2.44,2018
203,Lamar,-3.72,101.6,105.3,67.8,-0.059000000000000004,-6.97,100.5,107.5,-1.75,2018
204,Sam Houston St.,-3.77,102.1,105.9,67.2,0.04,-4.27,102.3,106.6,4.15,2018
205,Niagara,-3.99,109.5,113.5,73.7,0.09,-4.08,102.6,106.7,-3.49,2018
206,Southern Miss,-4.04,105.8,109.9,65.4,0.037000000000000005,2.4,105.3,102.9,4.36,2018
207,Massachusetts,-4.09,106.4,110.5,66.4,-0.013000000000000001,-0.54,104.3,104.8,-3.17,2018
208,Appalachian St.,-4.11,103.4,107.5,70.1,-0.026000000000000002,-2.58,103.0,105.6,-0.19,2018
209,Coastal Carolina,-4.19,101.8,105.9,67.8,-0.052000000000000005,-2.25,103.5,105.8,0.76,2018
210,Denver,-4.23,102.6,106.8,66.4,0.026000000000000002,-2.09,104.6,106.6,-3.34,2018
211,Kent St.,-4.34,102.1,106.4,68.7,0.066,-1.69,104.3,106.0,-1.86,2018
212,Fairfield,-4.37,102.1,106.4,70.5,0.051,-4.52,103.0,107.5,-0.9,2018
213,Central Arkansas,-4.41,105.4,109.8,72.7,0.001,-5.45,100.7,106.1,-2.23,2018
214,St. Francis PA,-4.86,106.4,111.2,68.2,0.039,-7.41,101.3,108.7,2.45,2018
215,Hartford,-4.89,102.9,107.8,66.5,0.065,-6.02,101.2,107.2,-6.72,2018
216,Manhattan,-4.95,99.3,104.2,65.8,-0.006999999999999999,-4.26,103.5,107.7,-3.79,2018
217,Saint Peter's,-5.0,95.5,100.5,62.6,-0.037000000000000005,-4.4,103.9,108.3,-5.37,2018
218,Campbell,-5.01,105.8,110.8,68.0,-0.057,-7.3,100.6,107.9,-8.04,2018
219,Tennessee Tech,-5.06,98.5,103.5,70.9,0.11800000000000001,-2.81,104.1,106.9,-0.53,2018
220,George Mason,-5.17,102.1,107.3,69.1,0.11699999999999999,-0.68,105.2,105.9,-3.59,2018
221,South Alabama,-5.32,96.9,102.2,70.4,-0.033,-2.98,103.0,105.9,-6.15,2018
222,FIU,-5.33,98.4,103.7,69.0,-0.039,-3.16,103.0,106.1,-6.95,2018
223,Stony Brook,-5.33,96.8,102.1,68.4,0.009000000000000001,-2.17,104.2,106.4,1.11,2018
224,Colorado St.,-5.66,102.6,108.3,69.6,0.037000000000000005,3.92,107.1,103.2,1.14,2018
225,Navy,-5.67,98.7,104.3,65.4,0.095,-8.2,100.8,109.0,-6.56,2018
226,Idaho St.,-5.7,103.2,108.9,68.1,-0.005,-3.69,103.8,107.5,-2.39,2018
227,Pittsburgh,-5.76,98.9,104.7,65.2,0.006999999999999999,9.14,110.0,100.8,-3.57,2018
228,Texas St.,-5.79,99.8,105.6,62.7,0.003,-2.99,103.1,106.1,-6.83,2018
229,James Madison,-5.97,101.4,107.4,67.9,-0.025,-2.06,105.6,107.6,-0.83,2018
230,Louisiana Monroe,-6.0,100.5,106.5,66.1,0.042,-2.83,102.7,105.6,-3.19,2018
231,Columbia,-6.01,107.3,113.3,70.0,-0.146,-3.5,102.7,106.2,-1.21,2018
232,Bowling Green,-6.04,102.0,108.1,70.0,0.066,-2.61,103.8,106.5,-4.63,2018
233,Florida Atlantic,-6.1,95.9,102.0,69.2,-0.025,-0.28,104.8,105.1,-0.38,2018
234,Loyola Marymount,-6.17,107.2,113.4,66.9,0.012,0.5,105.3,104.8,-2.55,2018
235,Lehigh,-6.23,105.7,111.9,70.8,0.042,-6.82,101.2,108.0,-2.17,2018
236,Oral Roberts,-6.24,106.0,112.3,65.3,-0.033,2.92,107.2,104.3,8.44,2018
237,Air Force,-6.25,100.5,106.8,66.0,0.022000000000000002,1.72,105.7,104.0,-5.13,2018
238,Mount St. Mary's,-6.36,103.7,110.1,64.7,0.028999999999999998,-8.63,100.7,109.4,-3.44,2018
239,North Dakota,-6.41,103.1,109.5,71.4,0.015,1.09,106.0,104.9,6.47,2018
240,UTEP,-6.49,98.0,104.5,67.6,-0.039,-1.14,104.3,105.4,-2.56,2018
241,High Point,-6.51,100.1,106.6,65.9,-0.08199999999999999,-6.42,101.6,108.0,-1.82,2018
242,Cal St. Bakersfield,-6.65,97.3,103.9,65.3,-0.024,0.64,105.5,104.9,4.67,2018
243,Texas Southern ,-6.65,104.6,111.2,71.7,-0.01,-6.3,101.0,107.3,17.2,2018
244,California,-7.27,98.2,105.4,68.7,0.008,5.14,108.9,103.8,-3.08,2018
245,UNC Wilmington,-7.43,104.3,111.7,72.0,-0.023,-0.32,106.6,106.9,2.87,2018
246,Charleston Southern,-7.43,99.4,106.8,66.5,-0.019,-6.06,102.3,108.4,-1.08,2018
247,Delaware,-7.57,102.0,109.6,65.9,0.015,-2.54,105.0,107.6,-3.38,2018
248,Elon,-7.62,103.6,111.3,67.3,0.061,-0.95,105.3,106.3,2.4,2018
249,Northern Illinois,-7.66,103.3,111.0,67.0,0.002,-1.45,104.8,106.2,-3.54,2018
250,Hampton,-7.68,101.0,108.7,71.9,-0.017,-11.05,99.5,110.6,1.01,2018
251,Drexel,-7.73,103.0,110.7,69.0,0.064,-2.16,105.4,107.5,-2.43,2018
252,Southern Utah,-7.74,102.2,110.0,71.7,0.062,-0.45,105.8,106.3,4.9,2018
253,Robert Morris,-7.79,94.7,102.5,69.3,0.036000000000000004,-5.74,102.7,108.5,0.95,2018
254,NJIT,-7.95,98.6,106.6,66.9,-0.024,-7.24,103.3,110.6,-2.51,2018
255,Akron,-8.08,101.8,109.9,67.8,0.068,-2.06,104.5,106.5,-5.3,2018
256,Southeast Missouri St.,-8.11,108.5,116.6,69.2,0.021,-4.53,101.7,106.2,-2.47,2018
257,Eastern Illinois,-8.14,99.0,107.1,65.5,0.009000000000000001,-2.42,103.3,105.8,2.01,2018
258,Boston University,-8.21,100.2,108.4,67.5,0.057,-5.49,102.2,107.7,-2.35,2018
259,LIU Brooklyn ,-8.27,102.3,110.6,71.6,0.012,-8.68,100.2,108.9,-6.06,2018
260,UT Rio Grande Valley,-8.47,99.3,107.8,73.7,0.064,-2.78,102.0,104.7,-2.47,2018
261,Gardner Webb,-8.52,97.6,106.1,67.7,0.021,-2.87,103.1,106.0,6.54,2018
262,Abilene Christian,-8.66,98.2,106.8,68.6,0.013999999999999999,-6.52,101.3,107.8,-3.16,2018
263,Green Bay,-8.67,99.9,108.6,72.2,-0.027999999999999997,-4.11,102.6,106.7,0.25,2018
264,Army,-8.69,99.8,108.5,70.4,-0.045,-7.17,101.9,109.1,-4.75,2018
265,Cornell,-8.9,104.7,113.6,69.2,0.057,-3.19,103.5,106.6,-1.84,2018
266,New Orleans,-8.95,98.5,107.4,66.1,0.047,-4.84,101.6,106.5,11.06,2018
267,Brown,-9.16,100.8,110.0,71.7,0.004,-5.54,102.4,108.0,-7.07,2018
268,UC Riverside,-9.17,94.5,103.7,68.3,-0.067,-1.31,103.8,105.1,1.76,2018
269,Prairie View A&M,-9.2,101.4,110.6,70.8,0.01,-7.94,100.0,107.9,10.43,2018
270,Montana St.,-9.27,102.1,111.3,69.7,0.026000000000000002,-2.85,104.5,107.4,-1.88,2018
271,Pepperdine,-9.51,105.0,114.5,67.5,-0.055999999999999994,1.09,106.3,105.2,-0.68,2018
272,Portland,-9.66,99.0,108.7,67.1,-0.001,1.2,106.5,105.3,0.61,2018
273,Morehead St.,-9.96,99.0,109.0,68.5,-0.069,-0.74,104.7,105.5,7.6,2018
274,Fairleigh Dickinson,-10.16,102.2,112.4,70.5,0.025,-5.59,102.1,107.7,5.93,2018
275,Lafayette,-10.17,101.8,112.0,68.3,-0.09699999999999999,-6.55,101.5,108.1,-2.8,2018
276,UMKC,-10.32,98.2,108.5,69.3,-0.009000000000000001,-0.19,104.8,105.0,1.93,2018
277,Santa Clara,-10.34,99.2,109.5,64.6,0.018000000000000002,-1.33,105.2,106.6,-6.82,2018
278,New Hampshire,-10.35,98.2,108.5,65.4,-0.069,-4.86,102.4,107.2,-4.07,2018
279,South Florida,-10.45,98.8,109.3,64.6,-0.013000000000000001,-1.73,103.6,105.3,-11.64,2018
280,Quinnipiac,-10.46,101.7,112.2,66.5,0.079,-4.19,103.1,107.3,-3.84,2018
281,Arkansas St.,-10.56,104.5,115.1,69.5,0.017,-2.27,102.9,105.1,-2.75,2018
282,North Florida,-10.65,107.7,118.4,73.6,0.07400000000000001,-0.86,104.7,105.6,9.82,2018
283,Nebraska Omaha,-10.67,104.1,114.7,69.8,0.012,1.8,106.9,105.1,4.31,2018
284,IUPUI,-10.72,98.3,109.0,66.1,0.03,-3.2,103.2,106.4,2.32,2018
285,Sacramento St.,-10.77,99.8,110.6,65.6,-0.067,0.05,105.5,105.5,3.32,2018
286,Eastern Kentucky,-10.96,101.7,112.6,68.6,0.017,-2.5,103.2,105.7,1.19,2018
287,UMass Lowell,-11.0,103.6,114.6,71.6,0.002,-6.84,100.8,107.6,-9.71,2018
288,Bethune Cookman,-11.05,99.5,110.6,76.0,0.025,-13.38,97.2,110.6,-5.09,2018
