Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM
305,Troy,-12.32,92.3,104.6,68.5,0.036000000000000004,-0.75,101.2,102.0,3.45
306,North Florida,-12.52,101.5,114.1,66.7,0.036000000000000004,-2.27,100.6,102.8,4.41
307,Lamar,-12.75,92.9,105.7,67.7,0.009000000000000001,-4.44,99.2,103.6,2.62
308,St. Francis PA,-12.76,94.8,107.6,68.8,-0.066,-5.25,100.0,105.2,13.18
309,Fairfield,-12.81,94.8,107.6,64.5,0.005,-5.47,96.8,102.2,-0.52
310,Nebraska Omaha,-12.82,94.2,107.0,70.9,-0.017,1.71,104.0,102.2,10.04
311,Southern,-12.93,91.3,104.2,70.8,-0.075,-12.93,93.1,106.0,17.75
312,Eastern Illinois,-12.93,95.6,108.5,69.1,-0.004,-3.67,100.8,104.4,2.85
313,Tennessee Tech,-13.61,96.1,109.7,69.0,-0.055,0.15,102.3,102.1,10.95
314,Howard,-13.75,98.2,112.0,69.9,0.102,-1.43,103.3,104.7,-1.43
315,Rider,-14.06,99.4,113.5,67.8,-0.040999999999999995,-4.25,97.2,101.5,10.8
316,Manhattan,-14.08,89.5,103.5,67.3,-0.006,-7.44,96.4,103.8,-19.37
317,Northwestern St.,-14.31,96.6,110.9,71.1,0.077,-3.79,100.7,104.5,14.9
318,Tennessee St.,-14.39,90.2,104.6,71.4,-0.10300000000000001,-3.65,100.6,104.2,-2.57
319,USC Upstate,-14.4,94.8,109.2,68.5,-0.032,-2.3,100.5,102.8,7.79
320,Grambling St.,-14.54,91.8,106.4,70.0,0.036000000000000004,-10.94,93.6,104.5,7.5
321,SIU Edwardsville,-14.56,92.6,107.2,68.5,0.008,-2.51,101.2,103.7,3.42
322,Sacred Heart,-14.75,98.4,113.1,66.5,0.13,-7.04,98.1,105.2,23.1
323,Binghamton,-15.05,97.2,112.2,66.1,-0.095,-4.08,98.3,102.3,-8.2
324,Presbyterian,-15.13,90.7,105.8,66.0,-0.057,-6.56,98.9,105.5,-10.75
325,Hampton,-15.32,95.0,110.3,70.6,0.11800000000000001,-7.28,98.5,105.8,-3.19
326,Northern Arizona,-15.38,97.8,113.2,64.2,0.038,0.35,102.5,102.2,11.71
327,Portland,-15.9,96.3,112.2,71.3,0.054000000000000006,7.61,105.9,98.3,1.16
328,North Carolina Central,-15.95,93.3,109.3,66.2,0.033,-6.22,96.3,102.5,13.24
329,Dixie St.,-16.36,90.9,107.2,73.3,0.07,-3.34,100.6,104.0,-3.29
330,Central Arkansas,-16.38,97.3,113.7,71.0,-0.018000000000000002,1.47,102.6,101.1,20.17
331,Air Force,-16.66,94.2,110.9,63.1,0.027999999999999997,3.94,104.3,100.4,-3.13
332,San Jose St.,-16.88,95.4,112.2,72.0,0.006,5.58,103.7,98.2,1.57
333,Cal Poly,-16.92,89.4,106.3,67.0,0.015,1.4,102.2,100.8,-1.13
334,Lehigh,-16.96,91.7,108.7,70.2,0.063,-5.63,100.9,106.6,-99.0
335,Northern Illinois,-17.4,93.4,110.8,65.6,-0.003,3.28,105.4,102.1,-5.08
336,Kennesaw St.,-17.91,87.4,105.3,69.6,-0.08800000000000001,-2.18,102.6,104.7,8.96
337,Southeastern Louisiana,-17.98,92.8,110.7,68.8,0.043,-5.5,100.0,105.5,4.98
338,Charleston Southern,-18.12,89.9,108.0,69.8,-0.049,-3.22,100.8,104.0,1.84
339,McNeese St.,-18.77,95.7,114.4,68.7,-0.09,-9.53,97.3,106.9,6.75
340,Houston Baptist,-18.88,92.3,111.2,72.8,-0.003,-3.25,100.4,103.7,11.13
341,Central Connecticut,-18.91,92.7,111.6,70.6,0.003,-6.01,99.0,105.0,8.28
342,Denver,-18.99,93.7,112.7,71.1,-0.105,-3.8,101.0,104.8,-6.26
343,Incarnate Word,-19.04,93.4,112.4,64.9,-0.049,-7.31,98.1,105.4,7.34
344,Alcorn St.,-19.3,90.8,110.1,69.6,-0.026000000000000002,-8.63,95.8,104.4,21.67
345,Texas A&M Corpus Chris,-19.44,89.2,108.6,69.8,-0.09300000000000001,-3.87,99.0,102.8,3.35
346,Maine,-19.72,85.9,105.6,64.7,0.027999999999999997,-0.78,100.7,101.5,6.93
347,Tennessee Martin,-20.78,92.3,113.0,67.6,0.122,-2.69,101.0,103.7,-1.14
348,Alabama A&M,-21.14,84.6,105.7,67.8,0.018000000000000002,-12.29,93.3,105.6,-5.53
349,Bethune Cookman,-22.26,90.2,112.4,72.5,0.0,-99.0,0.0,200.0,-99.0
350,Arkansas Pine Bluff,-23.59,91.0,114.6,67.2,-0.086,-3.74,97.3,101.0,15.92
351,Delaware St.,-24.08,91.0,115.0,73.5,-0.064,-3.43,98.9,102.4,2.45
352,Idaho,-24.26,89.9,114.1,67.0,-0.021,-1.11,102.0,103.1,12.62
353,South Carolina St.,-25.02,87.1,112.1,71.9,-0.109,-4.54,98.2,102.7,2.12
354,Alabama St.,-26.12,84.2,110.3,71.0,-0.049,-14.86,91.2,106.1,-99.0
355,Maryland Eastern Shore,-27.33,83.9,111.3,68.0,0.0,-99.0,0.0,200.0,-99.0
356,Chicago St.,-29.52,88.3,117.8,67.7,-0.006,9.28,106.8,97.6,9.28
357,Mississippi Valley St.,-41.51,79.2,120.7,71.3,0.04,-4.45,97.2,101.6,15.87
