Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM
99,Vanderbilt,8.21,108.8,100.6,68.9,-0.128,12.39,107.6,95.2,-3.08
100,UNC Greensboro ,8.13,104.2,96.1,68.4,0.005,0.89,103.3,102.4,-2.65
101,San Francisco,8.06,106.5,98.4,67.9,-0.10400000000000001,7.09,106.0,98.9,4.84
102,Washington St.,8.01,100.8,92.8,67.8,-0.01,8.65,107.0,98.4,-9.67
103,Loyola Marymount,7.99,107.2,99.2,66.2,0.033,7.3,105.0,97.7,5.77
104,Akron,7.77,108.6,100.8,68.7,-0.001,4.63,106.1,101.4,22.2
105,Rhode Island,7.77,104.9,97.1,69.2,-0.109,9.61,106.6,97.0,10.83
106,Belmont,7.67,109.4,101.8,71.0,0.05,-5.88,98.8,104.7,-6.03
107,Grand Canyon ,7.06,103.7,96.6,65.4,-0.061,-3.77,100.4,104.2,0.95
108,Kent St.,6.92,105.8,98.9,70.0,0.023,4.26,106.7,102.4,8.42
109,Eastern Washington ,6.82,107.8,101.0,72.3,-0.081,-2.91,100.8,103.7,18.37
110,Arizona St.,6.82,106.8,100.0,72.8,0.026000000000000002,12.76,109.1,96.4,8.72
111,UC Riverside,6.66,102.8,96.2,66.9,-0.066,-0.69,101.8,102.5,-0.82
112,UC Irvine,6.6,100.5,93.9,67.6,0.031,1.66,102.8,101.1,5.07
113,Pepperdine,6.43,107.1,100.7,71.4,-0.002,9.84,107.0,97.2,7.32
114,South Dakota St.,6.31,111.0,104.7,71.1,0.008,0.61,103.2,102.6,7.59
115,Massachusetts,6.01,105.6,99.6,72.0,-0.057,4.1,103.1,99.0,0.49
116,Butler,5.96,102.8,96.9,64.8,0.069,14.88,110.0,95.2,-0.33
117,Cincinnati,5.95,103.4,97.5,70.9,0.115,10.68,107.0,96.4,9.36
118,Indiana St.,5.79,102.7,96.9,67.1,0.079,6.68,105.7,99.0,8.97
119,Duquesne,5.46,102.0,96.5,69.1,0.006999999999999999,7.11,105.2,98.1,2.36
120,Yale,5.26,107.1,101.8,68.2,0.0,-99.0,0.0,200.0,-99.0
